Facility ID,Facility Name,City/Town,State,Number of Completed Surveys,Survey Response Rate Percent,Year,Nurse Communication,Doctor Communication,Staff Responsiveness,Medicine Communication,Discharge Information,Care Transition,Cleanliness,Quietness,Rating Score,Recommendation,State Name,Region,Division
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,544,15,2023,89,90,81,78,86,82,85,85,88,90,Alabama,South,East South Central
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,824,18,2023,90,92,74,75,86,79,80,85,85,84,Alabama,South,East South Central
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,1503,19,2023,88,88,75,70,84,77,73,84,82,79,Alabama,South,East South Central
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,189,24,2023,90,94,86,76,85,80,79,86,88,86,Alabama,South,East South Central
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,2023,33,2023,90,90,85,76,86,81,82,83,88,87,Alabama,South,East South Central
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,308,16,2023,91,91,79,75,87,78,82,85,83,79,Alabama,South,East South Central
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,947,21,2023,89,91,78,72,81,80,77,82,85,83,Alabama,South,East South Central
010019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,343,18,2023,93,93,85,76,88,82,87,89,91,91,Alabama,South,East South Central
010021,DALE MEDICAL CENTER,OZARK,AL,111,22,2023,90,93,86,80,88,83,91,86,89,87,Alabama,South,East South Central
010023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,2188,30,2023,89,90,83,76,85,80,82,80,86,87,Alabama,South,East South Central
010024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,900,18,2023,90,90,83,75,83,79,79,86,87,87,Alabama,South,East South Central
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,OPELIKA,AL,1386,18,2023,91,91,82,77,86,81,82,86,87,88,Alabama,South,East South Central
010033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,6045,16,2023,91,92,81,76,88,83,78,84,89,91,Alabama,South,East South Central
010034,COMMUNITY HOSPITAL INC,TALLASSEE,AL,76,29,2023,94,96,92,80,86,82,95,90,89,87,Alabama,South,East South Central
010035,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,422,19,2023,91,91,80,76,82,80,86,88,87,84,Alabama,South,East South Central
010036,ANDALUSIA HEALTH,ANDALUSIA,AL,272,18,2023,89,92,84,74,87,79,86,85,84,81,Alabama,South,East South Central
010039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,1127,18,2023,90,90,79,73,85,80,84,85,88,89,Alabama,South,East South Central
010040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,903,18,2023,89,89,77,68,81,77,77,81,82,80,Alabama,South,East South Central
010045,FAYETTE MEDICAL CENTER,FAYETTE,AL,133,29,2023,95,95,89,83,93,87,93,93,93,91,Alabama,South,East South Central
010046,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,444,36,2023,89,87,82,73,84,80,79,86,88,88,Alabama,South,East South Central
010049,MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,502,17,2023,91,92,82,77,88,81,80,86,86,84,Alabama,South,East South Central
010052,LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,92,21,2023,93,95,89,85,90,82,95,93,90,89,Alabama,South,East South Central
010055,FLOWERS HOSPITAL,DOTHAN,AL,1171,21,2023,91,91,80,76,83,80,81,85,88,87,Alabama,South,East South Central
010056,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,3079,38,2023,91,92,85,78,87,82,83,85,89,91,Alabama,South,East South Central
010061,HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,158,14,2023,93,90,85,74,87,82,86,86,85,80,Alabama,South,East South Central
010062,WIREGRASS MEDICAL CENTER,GENEVA,AL,53,23,2023,93,96,89,82,90,84,83,91,87,91,Alabama,South,East South Central
010065,RUSSELL MEDICAL CENTER,ALEXANDER CITY,AL,391,30,2023,91,92,88,78,88,81,85,89,88,87,Alabama,South,East South Central
010069,MEDICAL CENTER BARBOUR,EUFAULA,AL,206,32,2023,91,91,85,71,86,80,88,87,86,84,Alabama,South,East South Central
010073,CLAY COUNTY HOSPITAL,ASHLAND,AL,72,40,2023,94,96,88,83,93,86,92,86,91,90,Alabama,South,East South Central
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,1980,26,2023,87,88,80,73,87,79,80,84,84,81,Alabama,South,East South Central
010079,ATHENS LIMESTONE HOSPITAL,ATHENS,AL,369,19,2023,93,92,87,78,88,82,84,88,89,88,Alabama,South,East South Central
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,1037,26,2023,93,92,88,80,86,83,85,87,89,87,Alabama,South,East South Central
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,DECATUR,AL,391,19,2023,90,91,79,71,86,80,88,83,87,84,Alabama,South,East South Central
010086,NORTHWEST MEDICAL CENTER,WINFIELD,AL,174,28,2023,90,90,85,77,93,82,88,89,88,85,Alabama,South,East South Central
010087,USA HEALTH UNIVERSITY HOSPITAL,MOBILE,AL,1492,18,2023,88,90,82,76,84,80,76,79,85,85,Alabama,South,East South Central
010089,WALKER BAPTIST MEDICAL CENTER,JASPER,AL,635,15,2023,89,91,77,72,82,78,78,80,84,82,Alabama,South,East South Central
010090,PROVIDENCE HOSPITAL,MOBILE,AL,1243,37,2023,90,90,86,76,85,81,84,82,87,86,Alabama,South,East South Central
010092,DCH REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,1313,19,2023,87,89,76,70,81,77,73,82,81,79,Alabama,South,East South Central
010095,HALE COUNTY HOSPITAL,GREENSBORO,AL,79,29,2023,95,96,82,89,85,84,95,94,91,90,Alabama,South,East South Central
010097,ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,122,28,2023,89,93,94,77,83,80,86,88,86,82,Alabama,South,East South Central
010099,D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,238,28,2023,91,94,89,81,88,80,82,88,88,84,Alabama,South,East South Central
010100,THOMAS HOSPITAL,FAIRHOPE,AL,1108,31,2023,90,90,82,78,87,81,80,83,87,88,Alabama,South,East South Central
010101,CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,158,13,2023,91,91,85,72,82,78,89,88,86,82,Alabama,South,East South Central
010103,PRINCETON BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,1172,19,2023,91,92,83,75,83,80,82,83,86,85,Alabama,South,East South Central
010104,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,1250,22,2023,90,91,81,73,85,81,77,87,89,89,Alabama,South,East South Central
010108,PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,552,30,2023,90,92,86,78,91,82,88,86,88,88,Alabama,South,East South Central
010112,WHITFIELD REGIONAL HOSPITAL,DEMOPOLIS,AL,168,15,2023,88,92,78,75,84,80,89,86,86,84,Alabama,South,East South Central
010113,MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,1177,28,2023,89,90,82,74,85,80,83,80,86,86,Alabama,South,East South Central
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,515,12,2023,87,91,77,70,76,77,77,82,81,77,Alabama,South,East South Central
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,SELMA,AL,252,12,2023,88,91,77,67,76,74,83,84,81,76,Alabama,South,East South Central
010120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,145,25,2023,93,95,90,79,90,82,92,87,93,91,Alabama,South,East South Central
010125,LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,130,31,2023,94,93,91,81,93,82,93,90,92,90,Alabama,South,East South Central
010126,TROY REGIONAL MEDICAL CENTER,TROY,AL,178,33,2023,88,90,89,76,84,81,87,86,85,84,Alabama,South,East South Central
