State,Region,State Name,Avg Completed Surveys,Avg Response Rate,Facilities Count,Nurse Communication,Doctor Communication,Staff Responsiveness,Medicine Communication,Discharge Information,Care Transition,Cleanliness,Quietness,Rating Score,Recommendation
NE,Midwest,Nebraska,415.31,32.75,51,93.08,92.98,87.67,80.29,88.12,83.55,89.0,87.1,90.04,90.41
SD,Midwest,South Dakota,307.48,33.69,29,92.97,93.07,89.24,82.14,87.45,83.59,88.59,86.83,90.0,90.76
IA,Midwest,Iowa,314.24,30.79,78,92.88,93.01,86.95,79.56,88.45,83.06,89.44,85.73,89.81,89.9
KS,Midwest,Kansas,457.48,31.04,67,92.15,92.21,87.24,79.39,86.36,82.48,88.93,86.57,89.67,89.13
WI,Midwest,Wisconsin,490.54,32.07,119,93.02,92.24,87.5,80.9,89.37,83.27,89.18,85.74,89.62,89.11
MN,Midwest,Minnesota,345.48,31.1,93,93.19,93.01,88.24,80.24,88.25,83.09,88.2,86.56,89.56,89.48
UT,West,Utah,618.62,21.18,40,91.98,92.3,85.9,78.03,88.3,82.8,88.62,84.98,89.55,89.52
CO,West,Colorado,490.22,23.34,67,91.36,91.21,85.03,78.31,87.37,81.85,87.69,84.78,89.04,88.97
MT,West,Montana,376.35,26.46,26,92.35,92.19,88.12,80.23,87.96,82.19,86.5,85.12,89.0,88.88
LA,South,Louisiana,440.29,21.19,85,92.38,92.89,85.47,79.74,86.21,83.07,87.0,88.16,88.99,88.48
ID,West,Idaho,317.47,25.59,32,91.78,92.53,87.03,78.69,88.62,82.34,88.12,84.09,88.88,89.16
OK,South,Oklahoma,439.8,23.54,76,91.72,91.51,86.21,77.95,85.93,81.89,87.11,86.66,88.79,87.99
IN,Midwest,Indiana,515.56,26.09,101,91.66,90.96,85.21,76.43,87.54,81.75,87.34,83.7,88.77,87.93
OR,West,Oregon,548.09,22.68,53,91.68,91.09,85.92,79.15,87.55,81.04,86.85,81.45,88.4,88.32
AK,West,Alaska,282.31,19.23,13,91.54,91.54,85.54,79.62,87.77,81.38,87.77,82.69,88.38,88.23
ME,Northeast,Maine,342.88,25.34,32,92.28,92.38,85.56,78.72,87.22,82.41,86.59,81.0,88.19,88.22
WY,West,Wyoming,227.32,25.42,19,92.26,92.0,88.63,81.53,88.26,82.05,89.0,85.74,88.16,87.32
TX,South,Texas,631.95,19.46,277,90.81,90.62,83.95,77.21,85.39,81.18,87.62,85.8,88.08,87.25
OH,Midwest,Ohio,703.63,24.85,146,91.58,90.63,84.39,76.2,87.48,81.22,86.68,81.92,87.9,86.86
AR,South,Arkansas,444.42,22.04,57,91.65,92.21,85.44,77.82,84.65,81.37,85.95,86.28,87.86,87.05
WV,South,West Virginia,422.18,24.33,39,91.59,91.0,85.69,77.56,86.62,81.13,87.21,81.64,87.69,86.77
AL,South,Alabama,697.28,23.78,74,91.0,92.01,84.39,77.31,85.96,81.04,85.03,86.23,87.65,86.38
KY,South,Kentucky,485.07,20.84,81,91.46,91.59,84.21,76.86,86.06,81.4,86.69,84.0,87.63,86.44
MO,Midwest,Missouri,635.21,25.79,92,91.07,90.76,83.88,76.02,86.05,81.01,85.33,83.1,87.59,86.55
MS,South,Mississippi,399.37,20.6,57,91.19,92.47,84.05,78.49,84.72,81.47,85.11,87.56,87.58,86.77
VT,Northeast,Vermont,397.43,25.64,14,91.64,91.43,85.21,77.79,88.07,81.43,87.0,79.43,87.57,87.0
NH,Northeast,New Hampshire,432.25,24.92,24,91.79,90.5,84.71,77.46,88.29,81.12,86.58,79.17,87.46,87.21
PA,Northeast,Pennsylvania,646.12,28.74,148,91.57,90.51,84.24,75.81,87.01,80.93,86.0,80.11,87.42,86.38
RI,Northeast,Rhode Island,628.0,26.45,11,91.36,90.82,83.36,75.73,87.55,80.73,87.64,78.82,87.27,86.82
VA,South,Virginia,623.24,21.51,79,90.99,90.7,82.42,75.54,86.11,80.84,85.58,82.72,87.22,86.3
MI,Midwest,Michigan,594.26,27.98,112,91.34,90.41,85.19,76.66,87.22,80.91,84.45,81.61,87.12,86.13
SC,South,South Carolina,695.7,18.98,53,90.85,91.28,82.23,75.77,85.53,80.66,82.77,83.74,87.08,85.92
NC,South,North Carolina,605.36,21.24,99,90.94,91.24,82.81,76.53,86.41,81.0,84.26,82.93,86.93,85.58
GA,South,Georgia,503.67,17.95,110,90.11,90.47,81.56,74.61,84.06,80.08,84.96,84.7,86.72,85.59
HI,West,Hawaii,756.21,23.57,14,90.07,90.64,82.36,76.14,85.07,80.07,87.0,79.36,86.71,86.21
WA,West,Washington,530.32,21.42,69,90.49,90.3,83.13,76.12,86.59,80.2,85.87,79.32,86.62,86.22
IL,Midwest,Illinois,612.73,24.0,155,90.32,90.0,82.29,76.08,85.28,80.33,85.91,82.82,86.49,84.99
ND,Midwest,North Dakota,377.69,26.54,13,91.0,90.92,85.08,77.08,85.69,81.08,82.54,83.77,86.46,86.08
TN,South,Tennessee,633.86,21.29,83,90.75,91.08,83.29,75.98,84.46,80.31,84.39,84.37,86.43,85.43
MA,Northeast,Massachusetts,802.37,23.82,57,90.63,90.11,81.02,75.02,87.35,80.28,84.68,76.09,86.18,85.82
AZ,West,Arizona,609.4,22.82,72,89.29,88.56,81.92,74.65,84.25,79.04,83.86,79.67,86.01,84.85
NM,West,New Mexico,317.76,16.7,33,89.61,89.52,84.06,75.52,83.12,79.06,84.94,82.12,85.88,84.33
CA,West,California,763.91,19.5,300,88.46,88.22,80.24,73.95,84.01,78.5,85.45,75.4,85.5,84.33
